Date,Value
1953-12-14,80.7
1953-12-15,80.7
1953-12-16,80.7
1953-12-17,80.7
1953-12-18,80.7
1953-12-21,80.7
1953-12-22,80.7
1953-12-23,80.7
1953-12-24,80.7
1953-12-25,80.7
1953-12-28,80.7
1953-12-29,80.7
1953-12-30,80.7
1953-12-31,80.7
1954-01-01,80.7
1954-01-04,80.7
1954-01-05,80.7
1954-01-06,80.7
1954-01-07,80.7
1954-01-08,80.7
1954-01-11,80.7
1954-01-12,80.7
1954-01-13,80.7
1954-01-14,80.7
1954-01-15,80.7
1954-01-18,80.7
1954-01-19,80.7
1954-01-20,80.7
1954-01-21,80.7
1954-01-22,80.7
1954-01-25,80.7
1954-01-26,80.7
1954-01-27,80.7
1954-01-28,80.7
1954-01-29,80.7
1954-02-01,82.0
1954-02-02,82.0
1954-02-03,82.0
1954-02-04,82.0
1954-02-05,82.0
1954-02-08,82.0
1954-02-09,82.0
1954-02-10,82.0
1954-02-11,82.0
1954-02-12,82.0
1954-02-15,82.0
1954-02-16,82.0
1954-02-17,82.0
1954-02-18,82.0
1954-02-19,82.0
1954-02-22,82.0
1954-02-23,82.0
1954-02-24,82.0
1954-02-25,82.0
1954-02-26,82.0
1954-03-01,82.0
1954-03-02,82.0
1954-03-03,82.0
1954-03-04,82.0
1954-03-05,82.0
1954-03-08,82.0
1954-03-09,82.0
1954-03-10,82.0
1954-03-11,82.0
1954-03-12,82.0
1954-03-15,82.0
1954-03-16,82.0
1954-03-17,82.0
1954-03-18,82.0
1954-03-19,82.0
1954-03-22,82.0
1954-03-23,82.0
1954-03-24,82.0
1954-03-25,82.0
1954-03-26,82.0
1954-03-29,82.0
1954-03-30,82.0
1954-03-31,82.0
1954-04-01,82.0
1954-04-02,82.0
1954-04-05,82.0
1954-04-06,82.0
1954-04-07,82.0
1954-04-08,82.0
1954-04-09,82.0
1954-04-12,82.0
1954-04-13,82.0
1954-04-14,82.0
1954-04-15,82.0
1954-04-16,82.0
1954-04-19,82.0
1954-04-20,82.0
1954-04-21,82.0
1954-04-22,82.0
1954-04-23,82.0
1954-04-26,82.0
1954-04-27,82.0
1954-04-28,82.0
1954-04-29,82.0
1954-04-30,82.0
1954-05-03,82.9
1954-05-04,82.9
1954-05-05,82.9
1954-05-06,82.9
1954-05-07,82.9
1954-05-10,82.9
1954-05-11,82.9
1954-05-12,82.9
1954-05-13,82.9
1954-05-14,82.9
1954-05-17,82.9
1954-05-18,82.9
1954-05-19,82.9
1954-05-20,82.9
1954-05-21,82.9
1954-05-24,82.9
1954-05-25,82.9
1954-05-26,82.9
1954-05-27,82.9
1954-05-28,82.9
1954-05-31,82.9
1954-06-01,82.9
1954-06-02,82.9
1954-06-03,82.9
1954-06-04,82.9
1954-06-07,82.9
1954-06-08,82.9
1954-06-09,82.9
1954-06-10,82.9
1954-06-11,82.9
1954-06-14,82.9
1954-06-15,82.9
1954-06-16,82.9
1954-06-17,82.9
1954-06-18,82.9
1954-06-21,82.9
1954-06-22,82.9
1954-06-23,82.9
1954-06-24,82.9
1954-06-25,82.9
1954-06-28,82.9
1954-06-29,82.9
1954-06-30,82.9
1954-07-01,82.9
1954-07-02,82.9
1954-07-05,82.9
1954-07-06,82.9
1954-07-07,82.9
1954-07-08,82.9
1954-07-09,82.9
1954-07-12,82.9
1954-07-13,82.9
1954-07-14,82.9
1954-07-15,82.9
1954-07-16,82.9
1954-07-19,82.9
1954-07-20,82.9
1954-07-21,82.9
1954-07-22,82.9
1954-07-23,82.9
1954-07-26,82.9
1954-07-27,82.9
1954-07-28,82.9
1954-07-29,82.9
1954-07-30,82.9
1954-08-02,82.9
1954-08-03,82.9
1954-08-04,82.9
1954-08-05,82.9
1954-08-06,82.9
1954-08-09,82.9
1954-08-10,82.9
1954-08-11,82.9
1954-08-12,82.9
1954-08-13,82.9
1954-08-16,82.9
1954-08-17,82.9
1954-08-18,82.9
1954-08-19,82.9
