Date,CHNMAINLANDEPU_cleaned,Consumer Price Index_cleaned,DGS10_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,MICH_cleaned,SP500_Historical_Prices_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-01-01,116.457790836568,0.1895734597156417,11.55,8.74,8.1,0.0,1.127297953520645,2.9,0.0,1.53,96.0,7.3,103.83,151.470001
1985-01-02,116.457790836568,0.1895734597156417,11.7,9.37,8.1,-0.908206292572178,1.127297953520645,2.9,-1.1181597192981396,1.67,96.0,7.3,296.43,152.229996
1985-01-03,116.457790836568,0.1895734597156417,11.62,8.77,8.1,-1.0474631751227426,1.127297953520645,2.9,-0.4837563140773215,1.56,96.0,7.3,56.06,151.970001
1985-01-04,116.457790836568,0.1895734597156417,11.67,8.18,8.1,0.2977174991730003,1.127297953520645,2.9,-0.5408121825528522,1.59,96.0,7.3,118.45,152.110001
1985-01-07,116.457790836568,0.1895734597156417,11.5,8.23,8.1,-1.6160949868073815,1.127297953520645,2.9,0.3421388333588737,1.49,96.0,7.3,593.28,152.809998
1985-01-08,116.457790836568,0.1895734597156417,11.45,8.3,8.1,1.2403620516258762,1.127297953520645,2.9,-0.1522162637837998,1.46,96.0,7.3,237.04,151.910004
1985-01-09,116.457790836568,0.1895734597156417,11.47,8.02,8.1,-0.4966887417218513,1.127297953520645,2.9,0.7256461630320565,1.52,96.0,7.3,103.83,152.399994
1985-01-10,116.457790836568,0.1895734597156417,11.48,8.23,8.1,1.0981697171380975,1.127297953520645,2.9,1.8949055706499076,1.48,96.0,7.3,201.74,151.800003
1985-01-11,116.457790836568,0.1895734597156417,11.59,8.24,8.1,0.1645819618169897,1.127297953520645,2.9,-0.2376530819835132,1.51,96.0,7.3,207.56,152.410004
1985-01-14,116.457790836568,0.1895734597156417,11.6,8.15,8.1,-1.741702267499179,1.127297953520645,2.9,1.5484430873806687,1.53,96.0,7.3,140.99,153.889999
1985-01-15,116.457790836568,0.1895734597156417,11.49,8.03,8.1,0.936454849498336,1.127297953520645,2.9,0.1759445554059713,1.49,96.0,7.3,114.3,153.470001
1985-01-16,116.457790836568,0.1895734597156417,11.51,8.51,8.1,0.2982107355864682,1.127297953520645,2.9,0.2224722722580452,1.52,96.0,7.3,48.28,153.639999
1985-01-17,116.457790836568,0.1895734597156417,11.48,8.27,8.1,0.9250082590023244,1.127297953520645,2.9,-0.2687112023522675,1.5,96.0,7.3,190.6,153.460007
1985-01-18,116.457790836568,0.1895734597156417,11.39,8.1,8.1,0.8183306055646433,1.127297953520645,2.9,0.3455816853772164,1.48,96.0,7.3,208.3,153.470001
1985-01-21,116.457790836568,0.1895734597156417,11.39,8.1,8.1,-0.2272727272727204,1.127297953520645,2.9,2.2822719099706568,1.48,96.0,7.3,140.79,153.470001
1985-01-22,116.457790836568,0.1895734597156417,11.27,8.29,8.1,-0.1301659616010475,1.127297953520645,2.9,0.1426696376736425,1.44,96.0,7.3,115.91,152.869995
1985-01-23,116.457790836568,0.1895734597156417,11.21,8.36,8.1,-2.150537634408589,1.127297953520645,2.9,1.0371594304370737,1.38,96.0,7.3,102.03,153.460007
1985-01-24,116.457790836568,0.1895734597156417,11.06,8.33,8.1,0.199800199800193,1.127297953520645,2.9,-0.3327672463256492,1.32,96.0,7.3,47.3,152.600006
1985-01-25,116.457790836568,0.1895734597156417,11.11,8.37,8.1,-0.6646726487205101,1.127297953520645,2.9,0.3621749563309961,1.35,96.0,7.3,154.89,153.009995
1985-01-28,116.457790836568,0.1895734597156417,11.11,8.62,8.1,-0.3680160588825587,1.127297953520645,2.9,0.0281859550315344,1.32,96.0,7.3,392.25,153.020004
1985-01-29,116.457790836568,0.1895734597156417,11.11,8.61,8.1,1.846877098723976,1.127297953520645,2.9,1.0033815335616758,1.32,96.0,7.3,289.28,153.270004
1985-01-30,116.457790836568,0.1895734597156417,11.08,8.49,8.1,-0.1318826244642412,1.127297953520645,2.9,0.1172043322086757,1.32,96.0,7.3,50.51,152.910004
1985-01-31,116.457790836568,0.1895734597156417,11.17,8.73,8.1,1.254539451964343,1.127297953520645,2.9,0.1337897842581314,1.27,96.0,7.3,143.48,152.720001
1985-02-01,24.041283820014,0.5676442762535316,11.29,8.74,8.1,-1.010759700032593,0.9303721488595372,3.1,-0.556699867960464,1.25,93.7,7.2,50.66,153.470001
1985-02-04,24.041283820014,0.5676442762535316,11.35,8.61,8.1,-0.7575757575757569,0.9303721488595372,3.1,0.9628848310402782,1.32,93.7,7.2,198.4,154.940002
1985-02-05,24.041283820014,0.5676442762535316,11.3,8.36,8.1,0.2655160969133874,0.9303721488595372,3.1,0.1441610745977817,1.31,93.7,7.2,162.06,155.419998
1985-02-06,24.041283820014,0.5676442762535316,11.4,8.22,8.1,0.2648129758358042,0.9303721488595372,3.1,-0.0996666485587827,1.37,93.7,7.2,193.47,155.309998
1985-02-07,24.041283820014,0.5676442762535316,11.41,8.41,8.1,-0.3961703532518901,0.9303721488595372,3.1,0.7703900154423016,1.35,93.7,7.2,265.1,156.020004
1985-02-08,24.041283820014,0.5676442762535316,11.37,8.49,8.1,-0.6297646668876333,0.9303721488595372,3.1,0.2034952713029669,1.34,93.7,7.2,96.24,156.509995
1985-02-11,24.041283820014,0.5676442762535316,11.42,8.3,8.1,0.1334222815210006,0.9303721488595372,3.1,-0.9221186190557228,1.36,93.7,7.2,68.65,157.389999
1985-02-12,24.041283820014,0.5676442762535316,11.42,8.3,8.1,0.7661558960692982,0.9303721488595372,3.1,0.027700987911694,1.36,93.7,7.2,169.37,157.389999
1985-02-13,24.041283820014,0.5676442762535316,11.39,8.61,8.1,0.2314049586776834,0.9303721488595372,3.1,1.54519748706603,1.36,93.7,7.2,97.06,158.539993
1985-02-14,24.041283820014,0.5676442762535316,11.29,8.59,8.1,0.329815303430081,0.9303721488595372,3.1,-0.5126819798825344,1.31,93.7,7.2,46.4,157.990005
1985-02-15,24.041283820014,0.5676442762535316,11.38,8.53,8.1,-0.0657462195923663,0.9303721488595372,3.1,-0.4440532549377929,1.36,93.7,7.2,148.61,156.970001
1985-02-18,24.041283820014,0.5676442762535316,11.38,8.53,8.1,0.164473684210531,0.9303721488595372,3.1,0.0,1.36,93.7,7.2,427.95,156.970001
1985-02-19,24.041283820014,0.5676442762535316,11.37,8.63,8.1,-0.6239737274220003,0.9303721488595372,3.1,-0.1486807617765206,1.36,93.7,7.2,126.87,158.809998
1985-02-20,24.041283820014,0.5676442762535316,11.52,8.67,8.1,0.0991407799074473,0.9303721488595372,3.1,-0.0827271569837639,1.39,93.7,7.2,93.05,159.630005
1985-02-21,24.041283820014,0.5676442762535316,11.64,8.67,8.1,-0.990425883129742,0.9303721488595372,3.1,-0.5464125589995872,1.35,93.7,7.2,45.04,160.690002
1985-02-22,24.041283820014,0.5676442762535316,11.76,8.5,8.1,-0.5001667222407469,0.9303721488595372,3.1,-0.4606259058820949,1.42,93.7,7.2,47.45,162.039993
1985-02-25,24.041283820014,0.5676442762535316,11.75,8.52,8.1,-4.725201072386042,0.9303721488595372,3.1,-0.0724826507415787,1.39,93.7,7.2,203.24,164.720001
